position,customer,orders,items,spent,share_pct,running_pct,last_purchase
1,Helena Correia,14,26,8049.58,8.7,8.7,2026-09-09
2,Bruno Nunes,14,27,8049.26,8.7,17.4,2026-09-07
3,Fernanda Cardoso,14,21,7542.88,8.2,25.6,2026-09-04
4,Otávio Barbosa,12,23,6896.4,7.5,33.0,2026-09-08
5,Larissa Oliveira,14,22,5889.54,6.4,39.4,2026-09-03
6,Rafael Dias,13,17,5688.55,6.2,45.6,2026-09-07
7,Igor Santos,6,9,4261.27,4.6,50.2,2026-09-07
8,Camila Rocha,14,24,3911.71,4.2,54.4,2026-09-10
9,Natália Pereira,6,9,2723.79,2.9,57.4,2026-09-07
10,Beatriz Dias,6,9,2540.46,2.7,60.1,2026-09-09
11,João Souza,6,12,2207.78,2.4,62.5,2026-09-10
12,Thiago Dias,6,8,1314.57,1.4,63.9,2026-09-09
13,Diego Ferreira,2,4,1255.5,1.4,65.3,2026-08-30
14,Carlos Freitas,2,5,926.43,1.0,66.3,2026-08-14
15,Viviane Rocha,2,5,863.01,0.9,67.2,2026-09-09
16,Paulo Nunes,2,4,816.05,0.9,68.1,2026-07-27
17,Eduardo Nunes,1,3,809.1,0.9,69.0,2026-06-18
18,Gabriela Dias,2,4,785.57,0.9,69.8,2026-08-07
19,Vanessa Lima,2,3,785.12,0.8,70.7,2026-09-09
20,Fernanda Pereira,1,3,777.61,0.8,71.5,2026-07-24
21,Renata Melo,2,5,775.68,0.8,72.4,2026-09-06
22,Natália Almeida,1,3,701.65,0.8,73.1,2026-06-13
23,Felipe Carvalho,1,3,670.06,0.7,73.9,2026-08-03
24,Marcos Nunes,2,4,666.47,0.7,74.6,2026-08-14
25,Helena Oliveira,2,3,654.25,0.7,75.3,2026-08-24
26,Thiago Pereira,2,4,650.61,0.7,76.0,2026-09-05
27,Renata Souza,2,3,633.51,0.7,76.7,2026-09-07
28,Bruno Oliveira,2,2,623.1,0.7,77.3,2026-07-10
29,Marcos Teixeira,1,3,603.1,0.7,78.0,2026-09-07
30,Juliana Almeida,2,2,602.2,0.7,78.6,2026-09-02
31,Natália Cardoso,2,3,594.73,0.6,79.3,2026-08-06
32,Felipe Teixeira,2,3,593.17,0.6,79.9,2026-09-06
33,Carla Santos,1,3,553.57,0.6,80.5,2026-08-18
34,Thais Carvalho,2,4,549.24,0.6,81.1,2026-08-17
35,Marina Rocha,1,3,528.02,0.6,81.7,2026-09-10
36,Vanessa Santos,1,1,525.2,0.6,82.3,2026-08-04
37,Aline Nunes,1,1,525.2,0.6,82.8,2026-08-17
38,Leandro Freitas,2,3,524.2,0.6,83.4,2026-09-10
39,Paulo Souza,1,1,520.9,0.6,84.0,2026-07-12
40,Fernanda Ribeiro,2,4,502.26,0.5,84.5,2026-08-26
41,Leandro Pereira,1,2,492.02,0.5,85.0,2026-08-21
42,Sérgio Freitas,1,3,486.67,0.5,85.6,2026-08-11
43,Igor Costa,1,2,478.9,0.5,86.1,2026-07-28
44,Henrique Moreira,1,2,477.67,0.5,86.6,2026-07-05
45,Igor Ferreira,1,3,442.57,0.5,87.1,2026-08-26
46,Rafaela Gomes,2,2,428.0,0.5,87.5,2026-08-01
47,Henrique Costa,2,2,422.8,0.5,88.0,2026-09-08
48,Aline Almeida,1,2,416.5,0.5,88.5,2026-07-26
49,Helena Dias,2,2,416.45,0.5,88.9,2026-09-02
50,Priscila Santos,2,3,382.06,0.4,89.3,2026-09-08
51,Diego Pereira,1,3,359.36,0.4,89.7,2026-08-13
52,Aline Moreira,1,3,357.57,0.4,90.1,2026-07-10
53,Bruno Gomes,1,2,343.02,0.4,90.5,2026-08-09
54,Sérgio Souza,1,1,339.4,0.4,90.8,2026-07-29
55,Bruno Almeida,1,2,338.06,0.4,91.2,2026-08-06
56,Daniela Freitas,2,3,319.64,0.3,91.5,2026-08-14
57,Rafael Teixeira,1,1,311.45,0.3,91.9,2026-09-04
58,Sérgio Lima,1,2,311.35,0.3,92.2,2026-08-19
59,Fernanda Dias,1,2,301.65,0.3,92.5,2026-08-25
60,Daniela Pereira,1,3,298.94,0.3,92.9,2026-09-03
61,Gabriela Carvalho,1,2,263.36,0.3,93.2,2026-08-13
62,Marcos Dias,1,1,262.6,0.3,93.4,2026-08-17
63,Igor Martins,1,1,262.6,0.3,93.7,2026-09-10
64,Tatiane Nunes,2,2,262.52,0.3,94.0,2026-08-26
65,Sabrina Barbosa,2,2,262.4,0.3,94.3,2026-08-28
66,Sabrina Oliveira,1,1,260.45,0.3,94.6,2026-09-06
67,Paulo Oliveira,1,1,260.45,0.3,94.9,2026-07-16
68,Elaine Costa,1,1,246.6,0.3,95.1,2026-09-07
69,Larissa Rocha,1,1,241.4,0.3,95.4,2026-07-30
70,Marina Gomes,1,2,240.88,0.3,95.6,2026-09-09
71,Thais Gomes,1,1,216.8,0.2,95.9,2026-09-05
72,Rafael Rocha,1,2,211.4,0.2,96.1,2026-08-17
73,Henrique Gomes,2,3,210.43,0.2,96.3,2026-08-06
74,Tatiane Melo,1,2,208.38,0.2,96.6,2026-08-29
75,Bruna Ribeiro,2,2,207.01,0.2,96.8,2026-06-18
76,Paulo Almeida,2,2,203.75,0.2,97.0,2026-08-11
77,Gabriela Pereira,1,1,186.87,0.2,97.2,2026-06-17
78,Sabrina Pereira,1,2,179.28,0.2,97.4,2026-09-01
79,Isabela Moreira,1,1,179.1,0.2,97.6,2026-08-30
80,Bruno Dias,1,1,179.1,0.2,97.8,2026-08-19
81,Elaine Ribeiro,1,2,165.12,0.2,98.0,2026-08-20
82,Juliana Pereira,1,1,160.7,0.2,98.1,2026-08-17
83,Gustavo Carvalho,2,2,157.44,0.2,98.3,2026-08-19
84,Carla Martins,1,1,155.2,0.2,98.5,2026-07-06
85,Beatriz Souza,1,1,153.2,0.2,98.6,2026-08-29
86,Gabriela Almeida,1,1,147.96,0.2,98.8,2026-08-12
87,Camila Gomes,1,1,144.84,0.2,99.0,2026-08-18
88,Gustavo Gomes,2,2,141.9,0.2,99.1,2026-08-23
89,Felipe Ribeiro,1,1,107.46,0.1,99.2,2026-07-12
90,Isabela Melo,1,1,100.53,0.1,99.3,2026-09-04
91,Isabela Martins,1,1,96.42,0.1,99.4,2026-08-28
92,Diego Dias,1,1,95.05,0.1,99.5,2026-08-10
93,Natália Ribeiro,1,1,92.7,0.1,99.6,2026-08-13
94,Eduardo Dias,2,2,90.84,0.1,99.7,2026-09-01
95,Paulo Dias,1,1,80.13,0.1,99.8,2026-09-07
96,Patrícia Melo,1,1,78.75,0.1,99.9,2026-08-10
97,Patrícia Lima,1,1,73.89,0.1,100.0,2026-08-23
